question,answer,intent,state,crop
paddy (dhan) nutrient management in paddy crop-,recommendations of chamatkar(12% chelated zinc ) *soil application: mix 500g of chamatkar with 10 kg soil and apply uniformly on one acre. foliar applicaton: dissolve 100 g of chamatkar in 150-200 litres of water and spray over one acre of standing crop.,nutrient management,telangana,paddy (dhan)
papaya sucking pest in papaya management,recommended to spray fipronil +imidacloprid (police) 100 grams/200 litres of water /acre,plant protection,telangana,papaya
sorghum (jowar/great millet) stem borer management in sorghum,"recommended to spray cartap hydrochloride (padan), (caldan) 400 grams/ 200 litres of water / acre",plant protection,telangana,sorghum (jowar/great millet)
cowpea (vegetable) management of mosaic disease in cowpea,suggested to remove and destroy severely affected plants. spray thiamethoxam 25 wg @ 2g per 10 litre water for controlling vectors.,plant protection,kerala,cowpea (vegetable)
arecanut management of basal rotting in arecanut,suggested to soil drench hexaconazole 1ml per litre of water,plant protection,kerala,arecanut
onion plant protection in oinion,spar 2.0 ml. chlorpyriphos 20 ec.in a lit. water to the base of the seedlings during evening hours.,market information,karnataka,onion
others price detail of cotton in marapally mandi.,14/01/2023 mandi : marapally commodity : cotton (modal price): 8000/quintal,market information,telangana,others
bengal gram (gram/chick pea/kabuli/chana) market price of bengal gram,market price of bengal gram in vijayapura 17/01/2025 average(whole) 6000 6300,market information,karnataka,bengal gram (gram/chick pea/kabuli/chana)
ginger ginger soil type ;-,"ginger soil type ;- ginger thrives best in well drained soils like sandy loam, clay loam, red loam or lateritic loam.",cultural practices,telangana,ginger
passion fruit dragon fruit herbicidal effects ;-,recommended to spray sugar solution 5 grams /liter of water (or) recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water,cultural practices,telangana,passion fruit
"coconut contact number of crs, balaramapram and kvk, ernakulam","coconut research station, balaramapuram- +91-471-2400621 kvk, ernakulam- 0484 249 2450",training and exposure visits,kerala,coconut
cucumber management of epilachna beetle,"suggested that for controlling epilachna beetle in cucumber, apply neem cake @ 1kg for a cent during land preparation. spray neem oil garlic emulsion (20g garlic + 20ml neem oil + 5g bar soap + 1 litre water) or spray azadirachtin @ 5ml per litre water or spray bneauveria @ 20g per litre water.",plant protection,kerala,cucumber
pigeon pea (red gram/arhar/tur) spotted pod borer management,recommended to spray novaluron (remon ) 200-300 ml/acre,plant protection,andhra pradesh,pigeon pea (red gram/arhar/tur)
bhindi(okra/ladysfinger) management of snail in field,"spread the cabbage leaf and papaya leaf around the field, after the attraction of snail spray copper sulphate 10g/l. metaldehyde 60g/cent.",plant protection,kerala,bhindi(okra/ladysfinger)
passion fruit nutrient management in dragon fruit,suggested to apply 19-19-19 npk fertilizer @ 5g/litre of water fruit special micronutrient - 3 ml per litre of water,nutrient management,karnataka,passion fruit
chillies planofix with pegasus can use in chilli,not recommended planofix with pegasus can use in chilli,plant protection,telangana,chillies
aloe vera using aloe vera as fertilizer in vegetables,"suggested you can use aloe vera as an all purpose fertilizer and leaf spray, simply blend 1 large leaf and mix with 12 liters of water, mix well and water.",organic farming,kerala,aloe vera
others dosage of paraquat information,recommended to spray paraquat 1 litre /200 litres of water per acre,plant protection,telangana,others
ash gourd (petha) early fungal rot in ash gourd,spray pseudomonas fluorescence @ 5ml/l or 20g/l,plant protection,kerala,ash gourd (petha)
others is there any age limit for kcc loan?,you must be 18 years or older and less than 75 years of age to apply for a kcc.,government schemes,telangana,others
jack fruit the management of pink disease in jackfruit,suggested that the affected branches should be pruned off along with healthy tissues and destroyed. the cut ends should be pasted with copper oxychloride 50 wp paste (10 gram/litre of water).,plant protection,kerala,jack fruit
nutmeg management of antracnose and fruit drop in nutmeg,suggested to soil drench hexaconazole 1ml per litre of water.,plant protection,kerala,nutmeg
others contact number of kvk vijaypura.,dr.s.m.vastrad senior scientist & head icar-krishi vigyan kendra hittinahalli farm vijayapura-586101 cell: / phone:08352-200140/295139,training and exposure visits,karnataka,others
maize (makka) nutrient management in maize crop,recommended to spray sugar 10 gram per liter of water,nutrient management,andhra pradesh,maize (makka)
tomato tomato stem cutting caterpillar management ;-,recommended to spray chlorpyrifos 2 ml/ litres of water recommended to drench chlorpyrifos 2 ml/ litres of water,plant protection,telangana,tomato
tomato tomato sowing time for next sesaon,tomato sowing time june to july,plant protection,andhra pradesh,tomato
coconut coconut red palm weevil control,"on the point of bleeding make a small hole, inject 4.0 ml ddvp 76 ec. and plug the mouth of the hole with wet earth. install 1 - 2 pheramone traps in a garden (acre) to attract the beetles (pheramone trap rpw lure with fermented sugarcane juice + acetic acid + leaflets petioles+ yeast).",plant protection,karnataka,coconut
arecanut management of arecanut leaf spot disease,remove and destroy severely affected leaves; provide shade to nursery plants. spray bordeaux mixture 1% or copper oxychloride 50 wp (2.5 gram/litre of water) or mancozeb 75 wp (3 gram/litre of water) at monthly interval.,plant protection,kerala,arecanut
others pmkisan samman nidhi 18 th installement releasing date,recommended to visit website regular as it is not announced officially in the website,government schemes,telangana,others
maize (makka) ranibennur 07/10/2024 local 3720 2100 2430in gadag and ranibennur,gadag 10/10/2024 local 1743 2249 ranibennur 07/10/2024 local 2100 2430,market information,karnataka,maize (makka)
groundnut (pea nut/mung phalli) nutrient managment in ground nut,recommended to spray npk 19-19-19 mixture 5 grams/1 litre of water),nutrient management,telangana,groundnut (pea nut/mung phalli)
goat sheepfarming loan related information,"--directorate of animal husbandry, ntr veterinary super specialty hospital premises, labbipet, vijayawada-520010 0866-2492542",credit,andhra pradesh,goat
"others quantity of nitrogen, phosphorous & potash in 50kg of npk 18-18-18 fertilizer mixture","9kg nitrogen, 9kg phosphorous and 9kg potassium in 50kg of 18-18-18 npk fertilizer mixture",nutrient management,kerala,others
others contact number of kvk,"er. manoj kumar roy senior scientist & head krishi vigyan kendra, gaya manpur dist. – gaya (823003) india phone : fax :",training and exposure visits,bihar,others
cotton (kapas) how much time will recommend for proper working of chemical after rain,it will be at least 4-6 hours,plant protection,telangana,cotton (kapas)
sugarcane (noble cane) nutrient management in sugarcane crop,suggested to spray sugarcane special 4-5 ml per liter of water and n:p:k 19:19:19 5 gram per lit of water,nutrient management,karnataka,sugarcane (noble cane)
paddy (dhan) case worm management in paddy?,"recommended to spray vayego dosage/acre formulation (ml), dilution in water (l) per acre, waiting period (phi) in days. rice, yellow stem borer and leaf folder, 100 -120 ml, 200 lit",plant protection,andhra pradesh,paddy (dhan)
262 paddy varieties availability;- rnr-15048,paddy varieties availability ;- rnr-15048 --,varietal selection,telangana,262
citrus sucking pest management in citrus?,recommended to spray dimethoate (rogore ) 400ml/acre,plant protection,andhra pradesh,citrus
chillies management of anthracnose in chilli,suggested to spray hexaconazole 1ml per litre of water,plant protection,kerala,chillies
paddy (dhan) fertilizer requirement for uma variety in rice,"suggested to apply 26 kg urea, 100 kg rock phosphate and 15.0 kg muriate of potash respectively per acre at time of planting",nutrient management,kerala,paddy (dhan)
others pm fasal bima yojana 2024 scheme,oriental general insurance - 1800 425 6678,government schemes,karnataka,others
ridge gourd ridge gourd fruit fly managment ; -,recommended to spray malathion 400 ml /200 litres of water / acre,plant protection,telangana,ridge gourd
paddy (dhan) knm-1638 paddy variety disease resistance,"resistance to gall midge and leaf blast, and moderately resistant to neck blast with better adaptability.",varieties,andhra pradesh,paddy (dhan)
